Age,Metric,Value,RawValue
24.6,Motility,0,61.4
32.5,Motility,0.4885993485342089,61.7
34.9,Motility,2.9315960912052184,63.2
36.8,Motility,1.3029315960912122,62.2
39,Motility,-3.908794788,59
41.3,Motility,-5.374592834,58.1
44.6,Motility,-6.67752443,57.3
50,Motility,-21.66123779,48.1
24.6,Total Sperm,0,204
32.5,Total Sperm,4.411764705882353,213
34.9,Total Sperm,3.431372549019608,211
36.8,Total Sperm,0.4901960784313725,205
39,Total Sperm,-8.333333333,187
41.3,Total Sperm,-10.29411765,183
44.6,Total Sperm,-13.7254902,176
50,Total Sperm,-33.33333333,136
20,TTP,0,6.2
22.5,TTP,-3.225806452,6
27,TTP,12.90322580645161,7
32,TTP,64.51612903225805,10.2
37,TTP,64.51612903225805,10.2
42,TTP,62.90322581,10.1
47,TTP,206.4516129032258,19
50,TTP,420.9677419354838,32.3
